;ind;date;temperature_synop;temperature_meteociel;annee;mois;jour;heure;difference_temperature
2020-06-23 19:00:00;0;2020/06/23;28.53333333333334;18.1;2020;6;23;19;-10.433333333333337
2020-06-23 20:00:00;1;2020/06/23;28.5;17.2;2020;6;23;20;-11.3
2020-06-23 21:00:00;2;2020/06/23;26.86666666666667;16.3;2020;6;23;21;-10.56666666666667
2020-06-23 22:00:00;3;2020/06/23;25.23333333333335;15.7;2020;6;23;22;-9.53333333333335
2020-06-23 23:00:00;4;2020/06/23;23.60000000000002;15.4;2020;6;23;23;-8.200000000000019
2020-06-24 00:00:00;5;2020/06/24;22.9666666666667;15.8;2020;6;23;16;-7.1666666666667
2020-06-24 01:00:00;6;2020/06/24;22.33333333333337;15.4;2020;6;23;9;-6.933333333333371
2020-06-24 02:00:00;7;2020/06/24;21.70000000000005;15.4;2020;6;24;2;-6.300000000000049
2020-06-24 03:00:00;8;2020/06/24;20.9666666666667;15.2;2020;6;24;3;-5.766666666666701
2020-06-24 04:00:00;9;2020/06/24;20.23333333333335;15.1;2020;6;24;4;-5.133333333333349
2020-06-24 05:00:00;10;2020/06/24;19.5;14.9;2020;6;24;5;-4.6
2020-06-24 06:00:00;11;2020/06/24;20.06666666666668;15.3;2020;6;24;6;-4.76666666666668
2020-06-24 07:00:00;12;2020/06/24;20.63333333333336;15.1;2020;6;24;7;-5.533333333333362
2020-06-24 08:00:00;13;2020/06/24;21.20000000000005;15.5;2020;6;24;8;-5.700000000000049
2020-06-24 09:00:00;14;2020/06/24;23.13333333333336;16.9;2020;6;24;9;-6.233333333333363
2020-06-24 10:00:00;15;2020/06/24;25.06666666666668;16.7;2020;6;24;10;-8.366666666666681
2020-06-24 11:00:00;16;2020/06/24;27.0;17.6;2020;6;24;11;-9.399999999999999
2020-06-24 12:00:00;17;2020/06/24;28.13333333333334;16.8;2020;6;24;12;-11.33333333333334
2020-06-24 13:00:00;18;2020/06/24;29.26666666666669;19;2020;6;24;13;-10.26666666666669
2020-06-24 14:00:00;19;2020/06/24;30.40000000000003;19.6;2020;6;24;14;-10.80000000000003
2020-06-24 15:00:00;20;2020/06/24;31.0666666666667;20.3;2020;6;24;15;-10.766666666666698
2020-06-24 16:00:00;21;2020/06/24;31.73333333333337;18.3;2020;6;24;16;-13.433333333333369
2020-06-24 17:00:00;22;2020/06/24;32.40000000000003;18.8;2020;6;24;17;-13.600000000000026
2020-06-24 18:00:00;23;2020/06/24;32.16666666666671;19.6;2020;6;24;18;-12.566666666666706
2020-06-24 19:00:00;24;2020/06/24;31.93333333333338;19.3;2020;6;24;19;-12.633333333333379
2020-06-24 20:00:00;25;2020/06/24;31.70000000000005;18.2;2020;6;24;20;-13.50000000000005
2020-06-24 21:00:00;26;2020/06/24;30.33333333333337;16.6;2020;6;24;21;-13.73333333333337
2020-06-24 22:00:00;27;2020/06/24;28.9666666666667;16;2020;6;24;22;-12.9666666666667
2020-06-24 23:00:00;28;2020/06/24;27.60000000000002;15.7;2020;6;24;23;-11.90000000000002
2020-06-25 00:00:00;29;2020/06/25;26.56666666666668;15.4;2020;6;24;16;-11.16666666666668
2020-06-25 01:00:00;30;2020/06/25;25.53333333333334;14.6;2020;6;24;9;-10.933333333333339
2020-06-25 02:00:00;31;2020/06/25;24.5;14.4;2020;6;25;2;-10.1
2020-06-25 03:00:00;32;2020/06/25;23.43333333333334;14.8;2020;6;25;3;-8.63333333333334
2020-06-25 04:00:00;33;2020/06/25;22.36666666666667;14.6;2020;6;25;4;-7.766666666666671
2020-06-25 05:00:00;34;2020/06/25;21.30000000000001;14.3;2020;6;25;5;-7.000000000000011
2020-06-25 06:00:00;35;2020/06/25;21.86666666666667;14.2;2020;6;25;6;-7.666666666666671
2020-06-25 07:00:00;36;2020/06/25;22.43333333333334;14.5;2020;6;25;7;-7.933333333333341
2020-06-25 12:00:00;37;2020/06/25;28.26666666666669;17.3;2020;6;25;12;-10.96666666666669
2020-06-25 13:00:00;38;2020/06/25;29.43333333333335;17.8;2020;6;25;13;-11.63333333333335
2020-06-25 14:00:00;39;2020/06/25;30.60000000000002;19.2;2020;6;25;14;-11.40000000000002
2020-06-25 15:00:00;40;2020/06/25;31.16666666666669;19.7;2020;6;25;15;-11.46666666666669
2020-06-25 16:00:00;41;2020/06/25;31.73333333333335;19.6;2020;6;25;16;-12.133333333333347
2020-06-25 17:00:00;42;2020/06/25;32.30000000000001;20.1;2020;6;25;17;-12.20000000000001
2020-06-25 18:00:00;43;2020/06/25;31.83333333333335;19.6;2020;6;25;18;-12.233333333333348
2020-06-25 19:00:00;44;2020/06/25;31.36666666666669;18.8;2020;6;25;19;-12.566666666666688
2020-06-25 20:00:00;45;2020/06/25;30.90000000000003;17.6;2020;6;25;20;-13.30000000000003
2020-06-25 21:00:00;46;2020/06/25;29.43333333333335;16.3;2020;6;25;21;-13.13333333333335
2020-06-25 22:00:00;47;2020/06/25;27.96666666666668;15.8;2020;6;25;22;-12.166666666666679
2020-06-25 23:00:00;48;2020/06/25;26.5;15.4;2020;6;25;23;-11.1
2020-06-26 00:00:00;49;2020/06/26;25.63333333333334;15.3;2020;6;25;16;-10.33333333333334
2020-06-26 01:00:00;50;2020/06/26;24.76666666666669;15;2020;6;25;9;-9.76666666666669
2020-06-26 02:00:00;51;2020/06/26;23.90000000000003;14.8;2020;6;26;2;-9.10000000000003
2020-06-26 03:00:00;52;2020/06/26;23.5666666666667;14.5;2020;6;26;3;-9.066666666666698
2020-06-26 04:00:00;53;2020/06/26;23.23333333333337;14.2;2020;6;26;4;-9.03333333333337
2020-06-26 05:00:00;54;2020/06/26;22.90000000000003;14.2;2020;6;26;5;-8.700000000000031
