;ind;date;temperature_synop;temperature_meteociel;annee;mois;jour;heure;difference_temperature
2020-09-21 10:00:00;0;2020/09/21;17.86666666666667;15.7;2020;9;21;10;-2.1666666666666714
2020-09-21 11:00:00;1;2020/09/21;18.80000000000001;17.5;2020;9;21;11;-1.3000000000000114
2020-09-21 12:00:00;2;2020/09/21;18.86666666666667;18.9;2020;9;21;12;0.033333333333327886
2020-09-21 13:00:00;3;2020/09/21;18.93333333333334;19.6;2020;9;21;13;0.6666666666666607
2020-09-21 14:00:00;4;2020/09/21;19.0;15.8;2020;9;21;14;-3.1999999999999993
2020-09-21 15:00:00;5;2020/09/21;19.73333333333335;14.2;2020;9;21;15;-5.533333333333349
2020-09-21 16:00:00;6;2020/09/21;20.4666666666667;14.7;2020;9;21;16;-5.766666666666701
2020-09-21 17:00:00;7;2020/09/21;21.20000000000005;15.3;2020;9;21;17;-5.900000000000048
2020-09-21 18:00:00;8;2020/09/21;20.43333333333338;16.8;2020;9;21;18;-3.633333333333379
2020-09-21 19:00:00;9;2020/09/21;19.6666666666667;15.9;2020;9;21;19;-3.7666666666666995
2020-09-21 20:00:00;10;2020/09/21;18.90000000000003;14.5;2020;9;21;20;-4.4000000000000306
2020-09-21 21:00:00;11;2020/09/21;18.03333333333336;13.8;2020;9;21;21;-4.233333333333359
2020-09-21 22:00:00;12;2020/09/21;17.16666666666669;13.8;2020;9;21;22;-3.3666666666666885
2020-09-21 23:00:00;13;2020/09/21;16.30000000000001;13.7;2020;9;21;23;-2.600000000000012
2020-09-22 00:00:00;14;2020/09/22;16.00000000000002;13.3;2020;9;21;16;-2.7000000000000206
2020-09-22 01:00:00;15;2020/09/22;15.70000000000003;12.9;2020;9;21;9;-2.800000000000029
2020-09-22 02:00:00;16;2020/09/22;15.40000000000003;12.6;2020;9;22;2;-2.800000000000031
2020-09-22 03:00:00;17;2020/09/22;15.43333333333336;12.3;2020;9;22;3;-3.1333333333333595
2020-09-22 04:00:00;18;2020/09/22;15.46666666666668;12.1;2020;9;22;4;-3.3666666666666796
2020-09-22 05:00:00;19;2020/09/22;15.5;11.6;2020;9;22;5;-3.9000000000000004
2020-09-22 06:00:00;20;2020/09/22;15.36666666666667;11.4;2020;9;22;6;-3.9666666666666703
2020-09-22 07:00:00;21;2020/09/22;15.23333333333335;11.6;2020;9;22;7;-3.6333333333333506
2020-09-22 08:00:00;22;2020/09/22;15.10000000000002;11.8;2020;9;22;8;-3.3000000000000185
2020-09-22 09:00:00;23;2020/09/22;16.33333333333335;12.4;2020;9;22;9;-3.9333333333333496
