;ind;date;temperature_synop;temperature_meteociel;annee;mois;jour;heure;difference_temperature
2020-08-27 18:00:00;0;2020/08/27;;28.5;2020;8;27;18;
2020-08-27 19:00:00;1;2020/08/27;;28.9;2020;8;27;19;
2020-08-27 20:00:00;2;2020/08/27;;26.1;2020;8;27;20;
2020-08-27 21:00:00;3;2020/08/27;;23.4;2020;8;27;21;
2020-08-27 22:00:00;4;2020/08/27;;22.8;2020;8;27;22;
2020-08-27 23:00:00;5;2020/08/27;18.60000000000002;20.7;2020;8;27;23;2.09999999999998
2020-08-28 00:00:00;6;2020/08/28;18.70000000000003;17.6;2020;8;27;16;-1.1000000000000298
2020-08-28 01:00:00;7;2020/08/28;18.80000000000003;17;2020;8;27;9;-1.8000000000000291
2020-08-28 02:00:00;8;2020/08/28;18.90000000000003;16.6;2020;8;28;2;-2.300000000000029
2020-08-28 03:00:00;9;2020/08/28;18.6666666666667;16.8;2020;8;28;3;-1.8666666666666991
2020-08-28 04:00:00;10;2020/08/28;18.43333333333338;16.5;2020;8;28;4;-1.9333333333333798
2020-08-28 05:00:00;11;2020/08/28;18.20000000000005;16.8;2020;8;28;5;-1.4000000000000483
2020-08-28 06:00:00;12;2020/08/28;18.1666666666667;18.6;2020;8;28;6;0.4333333333333016
2020-08-28 07:00:00;13;2020/08/28;18.13333333333336;19.2;2020;8;28;7;1.066666666666638
2020-08-28 08:00:00;14;2020/08/28;18.10000000000002;19;2020;8;28;8;0.8999999999999808
2020-08-28 09:00:00;15;2020/08/28;18.23333333333335;18.7;2020;8;28;9;0.4666666666666508
2020-08-28 10:00:00;16;2020/08/28;18.36666666666667;20.6;2020;8;28;10;2.2333333333333307
2020-08-28 11:00:00;17;2020/08/28;18.5;22;2020;8;28;11;3.5
2020-08-28 12:00:00;18;2020/08/28;17.63333333333334;18.8;2020;8;28;12;1.1666666666666607
2020-08-28 13:00:00;19;2020/08/28;16.76666666666669;15.8;2020;8;28;13;-0.9666666666666899
2020-08-28 14:00:00;20;2020/08/28;15.90000000000003;15.9;2020;8;28;14;-3.019806626980426e-14
2020-08-28 15:00:00;21;2020/08/28;14.93333333333336;16.3;2020;8;28;15;1.3666666666666405
2020-08-28 16:00:00;22;2020/08/28;13.96666666666668;16.3;2020;8;28;16;2.3333333333333215
2020-08-28 17:00:00;23;2020/08/28;13.0;16.4;2020;8;28;17;3.3999999999999986
2020-08-28 18:00:00;24;2020/08/28;13.0;16.5;2020;8;28;18;3.5
2020-08-28 19:00:00;25;2020/08/28;13.0;15.7;2020;8;28;19;2.6999999999999993
2020-08-28 20:00:00;26;2020/08/28;13.0;16.2;2020;8;28;20;3.1999999999999993
2020-08-28 21:00:00;27;2020/08/28;12.33333333333333;14;2020;8;28;21;1.6666666666666696
2020-08-28 22:00:00;28;2020/08/28;11.66666666666667;13.9;2020;8;28;22;2.2333333333333307
2020-08-28 23:00:00;29;2020/08/28;11.0;13.2;2020;8;28;23;2.1999999999999993
2020-08-29 00:00:00;30;2020/08/29;10.56666666666668;14.2;2020;8;28;16;3.6333333333333186
2020-08-29 01:00:00;31;2020/08/29;10.13333333333336;13.8;2020;8;28;9;3.666666666666641
2020-08-29 02:00:00;32;2020/08/29;9.700000000000045;12.4;2020;8;29;2;2.699999999999955
2020-08-29 03:00:00;33;2020/08/29;9.466666666666697;11.8;2020;8;29;3;2.3333333333333037
2020-08-29 04:00:00;34;2020/08/29;9.233333333333348;11.5;2020;8;29;4;2.2666666666666515
2020-08-29 05:00:00;35;2020/08/29;9.0;11.2;2020;8;29;5;2.1999999999999993
2020-08-29 06:00:00;36;2020/08/29;9.233333333333348;10.4;2020;8;29;6;1.1666666666666519
2020-08-29 07:00:00;37;2020/08/29;9.466666666666697;10.3;2020;8;29;7;0.8333333333333037
2020-08-29 08:00:00;38;2020/08/29;9.700000000000045;10.3;2020;8;29;8;0.5999999999999552
2020-08-29 09:00:00;39;2020/08/29;10.80000000000003;11.7;2020;8;29;9;0.8999999999999702
2020-08-29 10:00:00;40;2020/08/29;11.90000000000001;13.2;2020;8;29;10;1.29999999999999
2020-08-29 11:00:00;41;2020/08/29;13.0;14.8;2020;8;29;11;1.8000000000000007
2020-08-29 12:00:00;42;2020/08/29;14.03333333333334;17.4;2020;8;29;12;3.3666666666666583
2020-08-29 13:00:00;43;2020/08/29;15.06666666666668;19.1;2020;8;29;13;4.033333333333321
2020-08-29 14:00:00;44;2020/08/29;16.10000000000002;19.7;2020;8;29;14;3.59999999999998
2020-08-29 15:00:00;45;2020/08/29;16.66666666666669;20.5;2020;8;29;15;3.833333333333311
2020-08-29 16:00:00;46;2020/08/29;17.23333333333335;21.4;2020;8;29;16;4.16666666666665
2020-08-29 17:00:00;47;2020/08/29;17.80000000000001;20.7;2020;8;29;17;2.899999999999988
2020-08-29 18:00:00;48;2020/08/29;16.66666666666669;20.1;2020;8;29;18;3.4333333333333123
2020-08-29 19:00:00;49;2020/08/29;15.53333333333336;19.2;2020;8;29;19;3.6666666666666394
2020-08-29 20:00:00;50;2020/08/29;14.40000000000003;17.2;2020;8;29;20;2.7999999999999687
2020-08-29 21:00:00;51;2020/08/29;13.86666666666669;16.5;2020;8;29;21;2.6333333333333098
2020-08-29 22:00:00;52;2020/08/29;13.33333333333335;15.3;2020;8;29;22;1.9666666666666508
2020-08-29 23:00:00;53;2020/08/29;12.80000000000001;15.3;2020;8;29;23;2.499999999999991
2020-08-30 00:00:00;54;2020/08/30;12.56666666666668;15;2020;8;29;16;2.4333333333333194
2020-08-30 01:00:00;55;2020/08/30;12.33333333333335;15.6;2020;8;29;9;3.2666666666666497
2020-08-30 02:00:00;56;2020/08/30;12.10000000000002;15.3;2020;8;30;2;3.1999999999999815
2020-08-30 03:00:00;57;2020/08/30;11.83333333333335;14.9;2020;8;30;3;3.0666666666666504
2020-08-30 04:00:00;58;2020/08/30;11.56666666666668;14.3;2020;8;30;4;2.73333333333332
2020-08-30 05:00:00;59;2020/08/30;11.30000000000001;13.7;2020;8;30;5;2.3999999999999897
2020-08-30 06:00:00;60;2020/08/30;11.16666666666669;13.4;2020;8;30;6;2.233333333333311
2020-08-30 07:00:00;61;2020/08/30;11.03333333333336;13.1;2020;8;30;7;2.06666666666664
2020-08-30 08:00:00;62;2020/08/30;10.90000000000003;12.5;2020;8;30;8;1.5999999999999694
2020-08-30 09:00:00;63;2020/08/30;11.50000000000004;13.9;2020;8;30;9;2.3999999999999595
2020-08-30 10:00:00;64;2020/08/30;12.10000000000004;14.9;2020;8;30;10;2.79999999999996
2020-08-30 11:00:00;65;2020/08/30;12.70000000000005;16.3;2020;8;30;11;3.59999999999995
2020-08-30 12:00:00;66;2020/08/30;12.63333333333336;17.7;2020;8;30;12;5.06666666666664
2020-08-30 13:00:00;67;2020/08/30;12.56666666666668;18.1;2020;8;30;13;5.533333333333321
2020-08-30 14:00:00;68;2020/08/30;12.5;19.7;2020;8;30;14;7.199999999999999
2020-08-30 15:00:00;69;2020/08/30;13.33333333333333;18.1;2020;8;30;15;4.766666666666671
2020-08-30 16:00:00;70;2020/08/30;14.16666666666667;18.5;2020;8;30;16;4.33333333333333
2020-08-30 17:00:00;71;2020/08/30;15.0;18.1;2020;8;30;17;3.1000000000000014
2020-08-30 18:00:00;72;2020/08/30;14.6;18.1;2020;8;30;18;3.5000000000000018
2020-08-30 19:00:00;73;2020/08/30;14.20000000000001;19.3;2020;8;30;19;5.099999999999991
2020-08-30 20:00:00;74;2020/08/30;13.80000000000001;16.1;2020;8;30;20;2.299999999999992
2020-08-30 21:00:00;75;2020/08/30;12.43333333333336;15.6;2020;8;30;21;3.1666666666666394
2020-08-30 22:00:00;76;2020/08/30;11.0666666666667;14.9;2020;8;30;22;3.8333333333333
2020-08-30 23:00:00;77;2020/08/30;9.700000000000045;14.2;2020;8;30;23;4.499999999999954
2020-08-31 00:00:00;78;2020/08/31;9.000000000000037;12.8;2020;8;30;16;3.7999999999999634
2020-08-31 01:00:00;79;2020/08/31;8.300000000000031;10.8;2020;8;30;9;2.49999999999997
2020-08-31 02:00:00;80;2020/08/31;7.600000000000023;11.8;2020;8;31;2;4.199999999999978
2020-08-31 03:00:00;81;2020/08/31;8.133333333333363;11.3;2020;8;31;3;3.1666666666666377
2020-08-31 04:00:00;82;2020/08/31;8.666666666666705;9;2020;8;31;4;0.33333333333329485
2020-08-31 05:00:00;83;2020/08/31;9.200000000000045;9.6;2020;8;31;5;0.39999999999995417
2020-08-31 06:00:00;84;2020/08/31;9.53333333333338;10.6;2020;8;31;6;1.0666666666666202
2020-08-31 07:00:00;85;2020/08/31;9.866666666666712;10.9;2020;8;31;7;1.0333333333332888
2020-08-31 08:00:00;86;2020/08/31;10.20000000000005;11.5;2020;8;31;8;1.2999999999999492
2020-08-31 09:00:00;87;2020/08/31;11.13333333333336;12.6;2020;8;31;9;1.4666666666666401
2020-08-31 10:00:00;88;2020/08/31;12.06666666666668;13.4;2020;8;31;10;1.3333333333333197
2020-08-31 11:00:00;89;2020/08/31;13.0;15.2;2020;8;31;11;2.1999999999999993
2020-08-31 12:00:00;90;2020/08/31;13.93333333333334;16.6;2020;8;31;12;2.6666666666666607
2020-08-31 13:00:00;91;2020/08/31;14.86666666666667;18.4;2020;8;31;13;3.533333333333328
2020-08-31 14:00:00;92;2020/08/31;15.80000000000001;19.7;2020;8;31;14;3.8999999999999897
2020-08-31 15:00:00;93;2020/08/31;16.30000000000001;20.3;2020;8;31;15;3.9999999999999893
2020-08-31 16:00:00;94;2020/08/31;16.80000000000001;19.1;2020;8;31;16;2.29999999999999
2020-08-31 17:00:00;95;2020/08/31;17.30000000000001;17.9;2020;8;31;17;0.5999999999999872
2020-08-31 18:00:00;96;2020/08/31;16.03333333333334;17.9;2020;8;31;18;1.86666666666666
2020-08-31 19:00:00;97;2020/08/31;14.76666666666667;17.2;2020;8;31;19;2.43333333333333
2020-08-31 20:00:00;98;2020/08/31;13.5;17;2020;8;31;20;3.5
2020-08-31 21:00:00;99;2020/08/31;12.30000000000001;14.5;2020;8;31;21;2.1999999999999904
2020-08-31 22:00:00;100;2020/08/31;11.10000000000002;12.5;2020;8;31;22;1.3999999999999808
2020-08-31 23:00:00;101;2020/08/31;9.900000000000034;12.8;2020;8;31;23;2.8999999999999666
2020-09-01 00:00:00;102;2020/09/01;9.433333333333357;11.3;2020;8;31;16;1.866666666666644
2020-09-01 01:00:00;103;2020/09/01;8.966666666666677;12.3;2020;8;31;9;3.3333333333333233
2020-09-01 02:00:00;104;2020/09/01;8.5;11.7;2020;9;1;2;3.1999999999999993
2020-09-01 03:00:00;105;2020/09/01;7.466666666666678;9.3;2020;9;1;3;1.8333333333333224
2020-09-01 04:00:00;106;2020/09/01;6.433333333333357;8.6;2020;9;1;4;2.166666666666643
2020-09-01 05:00:00;107;2020/09/01;5.400000000000034;6.9;2020;9;1;5;1.4999999999999662
2020-09-01 06:00:00;108;2020/09/01;5.600000000000023;5.9;2020;9;1;6;0.2999999999999776
2020-09-01 07:00:00;109;2020/09/01;5.800000000000011;5.3;2020;9;1;7;-0.5000000000000115
2020-09-01 08:00:00;110;2020/09/01;6.0;6.4;2020;9;1;8;0.40000000000000036
2020-09-01 09:00:00;111;2020/09/01;8.800000000000011;12.2;2020;9;1;9;3.399999999999988
2020-09-01 10:00:00;112;2020/09/01;11.60000000000002;14.8;2020;9;1;10;3.1999999999999815
2020-09-01 11:00:00;113;2020/09/01;14.40000000000003;17.6;2020;9;1;11;3.199999999999971
2020-09-01 12:00:00;114;2020/09/01;15.30000000000003;19.2;2020;9;1;12;3.89999999999997
2020-09-01 13:00:00;115;2020/09/01;16.20000000000003;19.3;2020;9;1;13;3.0999999999999694
2020-09-01 14:00:00;116;2020/09/01;17.10000000000002;20;2020;9;1;14;2.899999999999981
2020-09-01 15:00:00;117;2020/09/01;17.26666666666669;19.8;2020;9;1;15;2.53333333333331
2020-09-01 16:00:00;118;2020/09/01;17.43333333333335;20.5;2020;9;1;16;3.0666666666666487
2020-09-01 17:00:00;119;2020/09/01;17.60000000000002;20.4;2020;9;1;17;2.7999999999999794
2020-09-01 18:00:00;120;2020/09/01;16.9666666666667;20.6;2020;9;1;18;3.633333333333301
2020-09-01 19:00:00;121;2020/09/01;16.33333333333337;19.7;2020;9;1;19;3.366666666666628
2020-09-01 20:00:00;122;2020/09/01;15.70000000000005;17.3;2020;9;1;20;1.59999999999995
2020-09-01 21:00:00;123;2020/09/01;13.93333333333337;13.2;2020;9;1;21;-0.7333333333333716
2020-09-01 22:00:00;124;2020/09/01;12.16666666666671;12.2;2020;9;1;22;0.033333333333288806
2020-09-01 23:00:00;125;2020/09/01;10.40000000000003;10;2020;9;1;23;-0.40000000000003055
2020-09-02 00:00:00;126;2020/09/02;9.300000000000031;9;2020;9;1;16;-0.3000000000000309
2020-09-02 01:00:00;127;2020/09/02;8.200000000000026;8.4;2020;9;1;9;0.19999999999997442
2020-09-02 02:00:00;128;2020/09/02;7.100000000000023;7.1;2020;9;2;2;-2.3092638912203256e-14
2020-09-02 03:00:00;129;2020/09/02;6.566666666666682;6.6;2020;9;2;3;0.03333333333331723
2020-09-02 04:00:00;130;2020/09/02;6.033333333333341;6.9;2020;9;2;4;0.8666666666666591
2020-09-02 05:00:00;131;2020/09/02;5.5;6.7;2020;9;2;5;1.2000000000000002
2020-09-02 06:00:00;132;2020/09/02;5.666666666666667;6.7;2020;9;2;6;1.0333333333333332
2020-09-02 07:00:00;133;2020/09/02;5.833333333333333;6.1;2020;9;2;7;0.2666666666666666
2020-09-02 08:00:00;134;2020/09/02;6.0;6.6;2020;9;2;8;0.5999999999999996
2020-09-02 09:00:00;135;2020/09/02;8.900000000000015;12.5;2020;9;2;9;3.5999999999999854
2020-09-02 10:00:00;136;2020/09/02;11.80000000000003;14.9;2020;9;2;10;3.0999999999999712
2020-09-02 11:00:00;137;2020/09/02;14.70000000000005;17.7;2020;9;2;11;2.9999999999999485
2020-09-02 12:00:00;138;2020/09/02;15.70000000000005;19.6;2020;9;2;12;3.8999999999999506
2020-09-02 13:00:00;139;2020/09/02;16.70000000000005;22;2020;9;2;13;5.299999999999951
2020-09-02 14:00:00;140;2020/09/02;17.70000000000005;21;2020;9;2;14;3.299999999999951
2020-09-02 15:00:00;141;2020/09/02;17.80000000000003;20.7;2020;9;2;15;2.89999999999997
2020-09-02 16:00:00;142;2020/09/02;17.90000000000002;20.5;2020;9;2;16;2.59999999999998
2020-09-02 17:00:00;143;2020/09/02;18.0;22;2020;9;2;17;4.0
2020-09-02 18:00:00;144;2020/09/02;17.40000000000002;21.7;2020;9;2;18;4.299999999999979
2020-09-02 19:00:00;145;2020/09/02;16.80000000000003;21.4;2020;9;2;19;4.5999999999999694
2020-09-02 20:00:00;146;2020/09/02;16.20000000000005;18.1;2020;9;2;20;1.8999999999999524
2020-09-02 21:00:00;147;2020/09/02;14.50000000000004;15.1;2020;9;2;21;0.5999999999999588
2020-09-02 22:00:00;148;2020/09/02;12.80000000000003;13.7;2020;9;2;22;0.8999999999999702
2020-09-02 23:00:00;149;2020/09/02;11.10000000000002;13.6;2020;9;2;23;2.4999999999999805
2020-09-03 00:00:00;150;2020/09/03;9.966666666666697;10.1;2020;9;2;16;0.13333333333330266
2020-09-03 01:00:00;151;2020/09/03;8.833333333333371;8.7;2020;9;2;9;-0.13333333333337194
2020-09-03 02:00:00;152;2020/09/03;7.700000000000045;7.4;2020;9;3;2;-0.30000000000004423
2020-09-03 03:00:00;153;2020/09/03;6.700000000000045;6.3;2020;9;3;3;-0.40000000000004476
2020-09-03 04:00:00;154;2020/09/03;5.700000000000045;5.8;2020;9;3;4;0.09999999999995524
2020-09-03 05:00:00;155;2020/09/03;4.700000000000045;5.3;2020;9;3;5;0.5999999999999552
2020-09-03 06:00:00;156;2020/09/03;5.166666666666704;5.5;2020;9;3;6;0.33333333333329573
2020-09-03 07:00:00;157;2020/09/03;5.633333333333364;7.1;2020;9;3;7;1.4666666666666357
2020-09-03 08:00:00;158;2020/09/03;6.100000000000023;7.2;2020;9;3;8;1.0999999999999774
2020-09-03 09:00:00;159;2020/09/03;9.50000000000002;12;2020;9;3;9;2.4999999999999805
2020-09-03 10:00:00;160;2020/09/03;12.90000000000002;15.5;2020;9;3;10;2.59999999999998
2020-09-03 11:00:00;161;2020/09/03;16.30000000000001;18.9;2020;9;3;11;2.599999999999987
