;ind;date;temperature_synop;temperature_meteociel;annee;mois;jour;heure;difference_temperature
2020-08-07 17:00:00;0;2020/08/07;38.0;37.9;2020;8;7;17;-0.10000000000000142
2020-08-07 18:00:00;1;2020/08/07;37.5;38;2020;8;7;18;0.5
2020-08-07 19:00:00;2;2020/08/07;37.0;36.9;2020;8;7;19;-0.10000000000000142
2020-08-07 20:00:00;3;2020/08/07;36.5;37;2020;8;7;20;0.5
2020-08-07 21:00:00;4;2020/08/07;32.1;33;2020;8;7;21;0.8999999999999986
2020-08-07 22:00:00;5;2020/08/07;27.70000000000001;29;2020;8;7;22;1.29999999999999
2020-08-07 23:00:00;6;2020/08/07;23.30000000000001;26;2020;8;7;23;2.6999999999999886
2020-08-08 00:00:00;7;2020/08/08;22.00000000000002;24.7;2020;8;7;16;2.699999999999978
2020-08-08 01:00:00;8;2020/08/08;20.70000000000003;22.4;2020;8;7;9;1.6999999999999673
2020-08-08 02:00:00;9;2020/08/08;19.40000000000003;20.6;2020;8;8;2;1.1999999999999709
2020-08-08 03:00:00;10;2020/08/08;19.0666666666667;19.8;2020;8;8;3;0.7333333333333023
2020-08-08 04:00:00;11;2020/08/08;18.73333333333337;19.5;2020;8;8;4;0.7666666666666302
2020-08-08 05:00:00;12;2020/08/08;18.40000000000003;20.2;2020;8;8;5;1.7999999999999687
2020-08-08 06:00:00;13;2020/08/08;18.33333333333337;20;2020;8;8;6;1.6666666666666288
2020-08-08 07:00:00;14;2020/08/08;18.26666666666671;19.3;2020;8;8;7;1.0333333333332924
2020-08-08 08:00:00;15;2020/08/08;18.20000000000005;18.7;2020;8;8;8;0.49999999999995026
2020-08-08 09:00:00;16;2020/08/08;19.86666666666671;18.9;2020;8;8;9;-0.9666666666667112
2020-08-08 10:00:00;17;2020/08/08;21.53333333333338;19.7;2020;8;8;10;-1.8333333333333819
2020-08-08 11:00:00;18;2020/08/08;23.20000000000005;21.1;2020;8;8;11;-2.1000000000000476
2020-08-08 12:00:00;19;2020/08/08;25.30000000000003;23.8;2020;8;8;12;-1.5000000000000284
